SNO,State,City,Name,Type,WeeklyOff,Significance,visiting_time,Review,visiting_hrs,rating,fee
266,Sikkim,Pelling,Pemayangtse Monastery,Monastery,no,Religious,Morning,0.015,1,4.6,20
267,Sikkim,Namchi,Char Dham,Religious Complex,no,Religious,All,0.12,2,4.7,50
268,Sikkim,Gangtok,Rumtek Monastery,Monastery,no,Religious,Morning,0.035,1,4.6,10
269,Sikkim,Ravangla,Buddha Park,Park,no,Cultural,All,0.1,1,4.8,50
270,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,no,Religious,All,0.075,1,4.7,0
271,Sikkim,Gangtok,Tsomgo Lake,Lake,no,Nature,Morning,0.15,2,4.5,0
272,Assam,Guwahati,Kamakhya Temple,Temple,no,Religious,All,0.21,2,4.6,0
273,Assam,Kaziranga,Kaziranga National Park,National Park,no,Wildlife,Morning,0.068,3,4.5,650
274,Assam,Guwahati,Umananda Island,Island,no,Nature,Morning,0.01,1,4.1,0
275,Assam,Sivasagar,Sivasagar Sivadol,Temple,no,Historical,All,0.065,1,4.7,0
276,Assam,Majuli,Majuli Island,River Island,no,Cultural,Morning,0.01,2,4.7,0
277,Assam,Manas,Manas National Park,National Park,no,Wildlife,Morning,0.19,3,4.6,500
278,Assam,Hajo,Hayagriva Madhava Temple,Temple,no,Religious,All,0.9,1,4.5,0
279,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,no,Wildlife,All,0.037,2,4.4,500
280,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,no,Religious,Morning,0.032,2,4.7,0
281,Tripura,Agartala,Ujjayanta Palace,Palace,Monday,Historical,All,0.035,1.5,4.5,10
282,Tripura,Dumboor,Dumboor Lake,Lake,no,Nature,Morning,0.01,1,4.5,0
283,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,no,Historical,Morning,0.025,1.5,4.5,20
284,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,no,Nature,Morning,0.19,1.5,4.6,0
285,Nagaland,Dzükou Valley,Dzükou Valley,Valley,no,Trekking,Afternoon,0.01,3,4.7,0
286,Puducherry,Puducherry,Promenade Beach,Beach,no,Recreational,Morning,0.09,1,4.5,0
287,Puducherry,Auroville,Auroville,Township,no,Cultural,All,0.035,2,4.1,0
288,Puducherry,Puducherry,Paradise Beach,Beach,no,Recreational,Morning,0.015,1,4.5,200
289,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,Monday,Historical,Afternoon,0.12,1.5,4.7,30
290,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,no,Nature,Morning,0.09,1,4.8,0
291,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,no,Nature,Morning,0.04,1,4.5,0
292,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,no,Nature,Morning,0.015,1.5,4.4,250
293,Daman and Diu,Diu,Naida Caves,Cave,no,Nature,Afternoon,0.6,1,4.5,0
294,Daman and Diu,Diu,Diu Fort,Fort,no,Historical,Afternoon,1.2,1.5,4.6,0
295,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,no,Religious,All,1.8,1,4.7,0
296,Jharkhand,Ranchi,Pahari Mandir,Temple,no,Religious,All,0.13,1,4.6,0
297,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,no,Religious,All,0.2,1.5,4.7,0
298,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,no,Wildlife,All,0.5,2.5,4.3,30
299,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,no,Religious,All,0.25,1,4.7,0
300,Bihar,Patna,Budhha Smriti Park,Park,no,Cultural,All,0.31,1,4.4,10
301,Haryana,Gurugram,Kingdom of Dreams,Entertainment,Monday,Entertainment,Afternoon,0.3,3,4.4,1100
302,Haryana,Gurugram,Ambience Mall,Mall,no,Shopping,Afternoon,1.2,2,4.6,0
303,Haryana,Gurugram,DLF CyberHub,Commercial Complex,no,Entertainment,Afternoon,0.71,2,4.7,0
304,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,no,Religious,All,1.05,1,4.8,0
305,Uttarakhand,Kedarnath,Kedarnath,Temple,no,Religious,All,2,1.5,4.8,0
306,Uttar Pradesh,Noida,DLF Mall of India,Mall,no,Shopping,All,1.5,2,4.6,0
307,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,no,Shopping,All,0.45,2,4.2,0
308,Karnataka,Bengaluru,Wonderla Park,Amusement Park,no,Entertainment,All,0.95,4,4.5,890
309,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,Monday,Wildlife,Afternoon,0.81,3,4.4,50
310,Karnataka,Bengaluru,Orion Mall,Mall,no,Shopping,All,1.8,2,4.5,0
311,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,no,Shopping,All,1.2,2,4.5,0
312,Delhi,New Delhi,Jama Masjid,Mosque,no,Historical,All,0.49,1,4.5,0
313,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,Sunday,Sports,All,7.4,2,4.6,1500
314,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,no,Shopping,All,0.35,2,4.6,0
315,Kerala,Kochi,LuLu International Shopping Mall,Mall,no,Shopping,All,1.9,3,4.6,0
316,Delhi,New Delhi,Rail Museum,Museum,Monday,Cultural,Morning,0.24,2,4.4,50
317,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,no,Nature,Morning,0.06,2,4.6,0
318,Gujarat,Gandhinagar,Akshardham,Temple,Monday,Religious,All,0.18,3,4.6,0
319,Uttar Pradesh,Agra,Agra Fort,Fort,no,Historical,Afternoon,1.3,2,4.5,40
320,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,Monday,Cultural,All,0.15,2,4.7,10
321,Rajasthan,Jaipur,CityPalace,Palace,no,Historical,Morning,0.51,2,4.4,200
322,Rajasthan,Jaipur,Albert Hall Museum,Museum,no,Historical,All,0.63,2,4.5,200
